Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ExitRates in %,PageValues,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4,1660.3,0,0.0,2,0.016666667,113.9293434,Sep,2,10,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,8,0.025,0.0,Aug,2,10,6,4,Returning_Visitor,False,False
0,0.0,0,0.0,2,0.1,0.0,Nov,1,1,1,2,New_Visitor,False,False
2,47.0,0,0.0,39,0.016410256,78.93483561,Mar,3,3,2,1,Returning_Visitor,False,True
0,0.0,0,0.0,18,0.05,0.0,Mar,4,2,9,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.15,0.0,Dec,3,2,3,1,Returning_Visitor,True,False
10,515.6133333,3,85.14,50,0.011878788,12.12586885,Aug,3,2,4,4,Returning_Visitor,True,True
0,0.0,0,0.0,0,0.181818182,0.0,June,2,2,7,6,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,May,1,1,1,20,Returning_Visitor,False,False
0,0.0,1,0.0,7,0.033333333,0.0,Mar,2,2,1,8,New_Visitor,False,False
0,0.0,0,0.0,9,0.022222222,0.0,Nov,3,2,8,13,Other,False,False
0,0.0,0,0.0,3,0.022222222,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
17,218.741707,4,808.5,74,0.015609868,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
1,8.0,0,0.0,14,0.019047619,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,27,0.039506173,0.0,May,2,2,7,11,Returning_Visitor,False,False
2,50.5,1,7.0,27,0.009677419,0.0,Nov,1,2,1,8,New_Visitor,True,True
9,250.2222222,5,343.875,82,0.010982424,28.41708136,Dec,3,2,1,13,Returning_Visitor,False,True
0,0.0,0,0.0,19,0.024642375,0.0,May,2,4,1,4,Returning_Visitor,False,False
3,23.2,0,0.0,24,0.021333333,0.0,Aug,3,2,1,3,Returning_Visitor,True,False
1,153.5,0,0.0,20,0.00952381,41.13433129,Nov,2,2,4,2,Returning_Visitor,False,False
0,0.0,1,0.0,26,0.007407407,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
2,37.0,0,0.0,8,0.033333333,0.0,May,2,2,6,4,Returning_Visitor,False,False
8,121.425,3,273.5,100,0.012071651,0.0,Nov,2,2,7,13,Returning_Visitor,True,False
0,0.0,0,0.0,2,0.033333333,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
3,167.0,0,0.0,42,0.008888889,0.0,Aug,2,4,1,3,Returning_Visitor,False,False
1,19.0,0,0.0,40,0.0225,0.0,Mar,4,1,2,3,Returning_Visitor,True,False
4,423.1,0,0.0,16,0.005263158,0.0,Nov,3,2,2,20,Returning_Visitor,True,False
1,51.4,0,0.0,25,0.055466667,0.0,Jul,3,2,1,2,Returning_Visitor,False,False
1,0.0,2,29.0,28,0.034154351,0.0,May,2,4,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,4,0.15,0.0,Nov,1,1,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,2,0.1,0.0,May,4,2,4,13,Returning_Visitor,False,False
7,145.0,0,0.0,7,0.013333333,0.0,May,2,2,1,4,New_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,Nov,4,2,1,1,Returning_Visitor,True,False
5,78.5,1,26.0,48,0.005788982,29.01038502,Mar,2,2,1,8,New_Visitor,False,False
2,107.0,0,0.0,3,0.04,0.0,Mar,1,1,3,2,New_Visitor,False,False
4,122.25,0,0.0,45,0.018657031,0.0,Nov,1,1,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,10,0.026666667,0.0,Mar,3,2,2,3,Returning_Visitor,False,False
4,26.0,0,0.0,18,0.013333333,0.0,May,2,2,5,3,New_Visitor,True,False
0,0.0,0,0.0,1,0.2,0.0,May,6,7,3,15,Returning_Visitor,False,False
4,19.66666667,3,254.9166667,147,0.01925038,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,40,0.03747619,0.0,Mar,3,2,2,1,Returning_Visitor,False,False
0,0.0,0,0.0,8,0.15,0.0,June,1,1,1,3,Returning_Visitor,False,False
8,204.1071429,0,0.0,15,0.012280702,18.08071442,Nov,1,1,1,2,New_Visitor,False,False
9,344.0,0,0.0,22,0.013095238,12.94438665,Dec,2,2,7,1,Returning_Visitor,False,True
4,68.66666667,0,0.0,14,0.004444444,9.253161679,Sep,1,1,6,5,New_Visitor,False,True
3,37.58333333,0,0.0,67,0.010971792,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,98.0,0,0.0,15,0.006666667,0.0,Dec,2,2,3,2,Returning_Visitor,True,False
2,31.6,0,0.0,4,0.028571429,0.0,Aug,2,2,7,4,Returning_Visitor,False,False
0,0.0,0,0.0,15,0.065333333,0.0,Mar,3,2,4,1,Returning_Visitor,True,False
9,272.0416667,6,502.75,33,0.025011905,17.02873771,Dec,1,1,1,2,Returning_Visitor,False,False
0,0.0,2,131.0,36,0.001081081,33.84778378,May,3,2,7,2,New_Visitor,True,True
0,0.0,0,0.0,2,0.2,0.0,May,1,1,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,97,0.015730379,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,16,0.041666667,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
8,86.06190476,2,186.2333333,49,0.029589443,0.0,June,1,1,3,3,Returning_Visitor,False,False
2,66.5,0,0.0,5,0.042857143,0.0,June,2,2,7,2,Returning_Visitor,False,False
0,0.0,0,0.0,130,0.012319347,0.0,May,3,2,6,13,Returning_Visitor,False,False
7,154.0,3,248.1666667,34,0.005128205,77.801588,Dec,2,2,1,2,New_Visitor,False,True
1,113.0,0,0.0,13,0.027272727,0.0,May,1,1,1,2,New_Visitor,False,False
1,14.0,0,0.0,21,0.023333333,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
2,82.0,0,0.0,13,0.037777778,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
6,93.3,0,0.0,70,0.005868545,0.0,Jul,2,2,1,2,Returning_Visitor,True,False
3,61.0,0,0.0,79,0.024390244,0.0,May,2,2,1,13,Returning_Visitor,False,False
6,89.46666667,1,32.0,81,0.004809853,27.89977528,May,4,2,6,3,Returning_Visitor,True,False
6,333.54,0,0.0,12,0.0125,19.63031016,Nov,2,4,5,2,New_Visitor,False,True
0,0.0,0,0.0,45,0.038636364,0.0,Nov,2,2,7,13,Returning_Visitor,False,False
0,0.0,0,0.0,4,0.05,0.0,May,2,2,7,1,Returning_Visitor,True,False
0,0.0,0,0.0,25,0.016,0.0,Dec,2,2,2,3,Returning_Visitor,False,False
0,0.0,0,0.0,58,0.036607143,0.0,May,2,2,2,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,May,3,2,7,1,Returning_Visitor,False,False
0,0.0,0,0.0,6,0.05,0.0,Dec,2,2,9,3,New_Visitor,False,False
0,0.0,0,0.0,9,0.05,0.0,Dec,2,4,7,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,Dec,3,2,3,2,Returning_Visitor,False,False
1,17.2,0,0.0,6,0.05,22.09581063,Oct,1,8,8,1,Returning_Visitor,False,False
1,6.0,0,0.0,29,0.010344828,0.0,May,1,1,1,1,Returning_Visitor,True,False
1,40.5,0,0.0,49,0.011538462,35.79969486,Nov,2,2,3,13,Returning_Visitor,False,True
0,0.0,0,0.0,14,0.023809524,0.0,Nov,1,1,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,91,0.009213483,0.0,Dec,2,2,1,2,New_Visitor,False,False
2,40.25,0,0.0,23,0.025,24.07951908,Dec,1,1,2,8,Returning_Visitor,True,True
2,53.0,0,0.0,4,0.056,0.0,May,3,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,Jul,2,2,2,5,New_Visitor,True,False
3,33.0,0,0.0,67,0.011147186,0.0,Mar,4,1,1,10,Returning_Visitor,False,False
5,85.5,0,0.0,30,0.0078125,45.58268367,Nov,2,2,2,8,New_Visitor,True,True
1,250.5,0,0.0,1,0.1,0.0,Nov,2,2,9,13,Returning_Visitor,False,False
1,38.0,0,0.0,16,0.045198413,18.66333333,May,3,2,4,4,Returning_Visitor,True,False
1,20.0,0,0.0,30,0.026666667,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,12,0.025,0.0,May,1,2,3,4,Returning_Visitor,False,False
0,0.0,0,0.0,15,0.06875,0.0,May,2,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,2,0.05,0.0,Feb,3,2,2,3,Returning_Visitor,False,False
4,305.0,0,0.0,16,0.041666667,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
15,404.7666667,4,240.5,120,0.027927974,9.269827963,Nov,2,2,3,2,Returning_Visitor,True,False
9,102.8666667,3,339.5,29,0.014705882,77.64914484,Dec,2,10,1,2,Returning_Visitor,False,True
22,438.3309524,3,703.5,178,0.016885589,2.038399449,Nov,2,2,1,10,Returning_Visitor,False,True
8,172.2,0,0.0,28,0.007272727,13.11145455,May,2,2,5,13,Returning_Visitor,False,False
2,13.33333333,0,0.0,105,0.020275689,0.0,May,3,2,1,4,Returning_Visitor,False,False
1,23.0,0,0.0,35,0.069333333,0.0,May,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,9,0.014285714,0.0,Nov,3,2,1,1,Returning_Visitor,False,False
0,0.0,1,12.0,22,0.00952381,12.18867006,Dec,2,2,1,2,New_Visitor,True,True
6,335.1190476,1,8.0,51,0.014481293,2.846779661,May,1,1,9,3,Returning_Visitor,True,False
6,201.0,0,0.0,84,0.016803503,66.57412378,Nov,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,8,0.00625,0.0,Dec,2,4,4,1,Returning_Visitor,False,False
11,1443.1,5,205.0,225,0.012050716,9.242286032,Nov,2,2,4,2,Returning_Visitor,False,True
3,120.0,0,0.0,5,0.014285714,0.0,May,3,3,4,2,New_Visitor,True,False
0,0.0,0,0.0,3,0.2,0.0,Nov,3,2,6,13,Returning_Visitor,False,False
4,82.0,0,0.0,17,0.046376812,0.0,Jul,3,2,1,13,Returning_Visitor,False,False
2,65.0,0,0.0,13,0.020512821,0.0,May,1,2,8,6,Returning_Visitor,False,False
3,86.75,0,0.0,16,0.014285714,0.0,Dec,1,1,2,2,Returning_Visitor,False,False
4,34.93333333,0,0.0,2,0.028571429,0.0,Oct,2,2,4,2,New_Visitor,False,False
4,34.0,0,0.0,3,0.04,0.0,May,1,1,3,2,New_Visitor,False,False
5,40.13636364,0,0.0,35,0.012593985,64.72238907,Nov,2,2,1,1,Returning_Visitor,False,True
8,440.1041667,7,315.0,63,0.022481685,12.08192262,May,1,1,1,2,Returning_Visitor,False,False
4,106.0,0,0.0,6,0.025,0.0,Nov,3,6,3,2,New_Visitor,False,False
2,33.0,0,0.0,22,0.025,0.0,May,3,2,3,1,Returning_Visitor,False,False
6,88.0,0,0.0,17,0.021929825,0.0,May,2,2,5,4,Returning_Visitor,False,False
2,77.5,0,0.0,19,0.002631579,0.0,Mar,3,2,2,9,New_Visitor,True,False
0,0.0,0,0.0,28,0.07047619,0.0,Nov,2,5,1,3,Returning_Visitor,False,False
2,57.0,0,0.0,12,0.047619048,10.62514286,May,2,2,1,6,Returning_Visitor,False,False
3,79.0,0,0.0,38,0.020139373,9.401136585,Mar,2,4,2,2,Returning_Visitor,False,False
1,4.0,0,0.0,8,0.04,15.45198077,Sep,2,4,1,1,Returning_Visitor,False,True
7,94.84,0,0.0,43,0.019638695,0.0,Oct,2,4,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,36,0.005714286,0.0,Nov,2,4,6,2,Returning_Visitor,False,False
6,123.4642857,0,0.0,34,0.010431717,19.66912605,Dec,2,2,2,7,Returning_Visitor,True,True
3,50.0,5,248.75,39,0.017826087,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,56,0.023809524,0.0,Nov,2,2,1,8,Returning_Visitor,False,True
1,8.0,0,0.0,22,0.037698413,10.79250883,Jul,3,2,1,1,Returning_Visitor,False,True
6,257.5,0,0.0,37,0.031707317,6.651334683,Nov,2,2,3,1,Returning_Visitor,False,True
0,0.0,0,0.0,34,0.031505682,0.0,Nov,1,1,1,2,Returning_Visitor,True,False
0,0.0,0,0.0,1,0.2,0.0,May,3,3,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,3,0.066666667,0.0,May,2,2,9,3,Returning_Visitor,False,False
3,195.0,0,0.0,49,0.001923077,0.0,May,2,2,3,2,New_Visitor,False,False
3,55.0,2,4.0,2,0.033333333,0.0,Mar,1,1,8,2,New_Visitor,False,False
0,0.0,0,0.0,7,0.042857143,0.0,May,2,2,3,4,Returning_Visitor,False,False
0,0.0,0,0.0,22,0.013383838,0.0,May,3,2,3,2,Returning_Visitor,False,False
0,0.0,0,0.0,5,0.08,0.0,Dec,3,2,1,6,Returning_Visitor,False,False
4,643.8333333,0,0.0,17,0.052631579,0.0,Nov,2,4,1,1,Returning_Visitor,False,False
2,67.0,0,0.0,10,0.064935065,0.0,Nov,3,2,3,13,Returning_Visitor,True,False
5,86.16666667,1,13.0,55,0.019159146,9.139760775,May,2,2,1,2,Returning_Visitor,True,False
0,0.0,0,0.0,7,0.085714286,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
8,492.4166667,4,384.0,52,0.018233487,11.1076505,Mar,2,2,1,2,Returning_Visitor,False,True
10,790.9,0,0.0,54,0.018518854,0.0,Nov,2,2,1,10,Returning_Visitor,False,True
0,0.0,0,0.0,15,0.035714286,0.0,Mar,2,2,7,1,Returning_Visitor,False,False
4,66.0,0,0.0,52,0.008484848,0.0,Dec,2,4,7,20,Returning_Visitor,False,False
0,0.0,0,0.0,18,0.091604938,0.0,Aug,3,2,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,25,0.017361111,0.0,Aug,3,2,4,1,Returning_Visitor,True,False
0,0.0,8,707.5,51,0.015404896,0.0,May,2,2,8,3,Returning_Visitor,False,False
3,13.0,0,0.0,28,0.001724138,0.0,Mar,2,2,1,6,Returning_Visitor,False,False
0,0.0,0,0.0,24,0.0375,0.0,May,2,2,9,2,Returning_Visitor,True,False
5,263.7333333,1,16.2,97,0.017,3.454874142,Oct,2,2,2,3,Returning_Visitor,False,False
0,0.0,0,0.0,6,0.033333333,0.0,Mar,2,2,7,13,Returning_Visitor,True,False
0,0.0,0,0.0,64,0.025219349,0.0,Dec,1,1,3,2,Returning_Visitor,False,False
0,0.0,0,0.0,6,0.033333333,0.0,May,4,2,4,4,Returning_Visitor,False,False
0,0.0,2,52.0,12,0.028571429,0.0,May,1,1,3,3,Returning_Visitor,False,False
7,150.3571429,1,9.0,221,0.021904109,1.582473154,Nov,2,5,1,2,Returning_Visitor,True,True
1,32.28571429,0,0.0,8,0.028571429,0.0,Mar,3,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,38,0.053909774,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,4,0.083333333,0.0,Mar,1,1,1,1,Returning_Visitor,True,False
4,46.45833333,0,0.0,82,0.007267442,27.75787044,Nov,2,4,3,1,Returning_Visitor,False,True
0,0.0,0,0.0,3,0.066666667,0.0,Nov,2,4,1,3,Returning_Visitor,False,False
1,49.5,0,0.0,9,0.035714286,0.0,Dec,2,2,1,7,New_Visitor,True,False
3,46.4,0,0.0,8,0.033333333,4.78307258,Oct,2,7,7,20,Returning_Visitor,True,True
1,18.83333333,0,0.0,2,0.05,0.0,Dec,3,2,1,10,Returning_Visitor,False,False
0,0.0,0,0.0,8,0.025,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
2,77.0,0,0.0,43,0.015909091,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
3,46.5,0,0.0,16,0.0125,0.0,Mar,2,4,1,1,Returning_Visitor,True,False
0,0.0,0,0.0,2,0.05,0.0,Mar,3,2,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,28,0.032959184,0.0,Nov,1,1,3,2,Returning_Visitor,False,False
0,0.0,0,0.0,3,0.133333333,0.0,Nov,2,2,1,1,Returning_Visitor,True,False
8,144.5,4,181.7222222,52,0.030060764,0.0,May,3,2,3,13,Returning_Visitor,True,False
0,0.0,0,0.0,5,0.12,0.0,Mar,2,5,2,1,Returning_Visitor,False,False
1,48.0,0,0.0,52,0.045679012,13.32592593,May,2,2,3,3,Returning_Visitor,False,False
8,167.0,3,869.0,34,0.030876623,0.0,Mar,2,4,1,1,Returning_Visitor,False,False
11,210.8555556,0,0.0,149,0.013305319,0.513385987,May,1,1,3,1,Returning_Visitor,False,False
1,3.0,0,0.0,7,0.007142857,0.0,Mar,3,2,1,10,Returning_Visitor,False,False
0,0.0,0,0.0,20,0.035185185,0.0,Nov,3,2,5,1,Returning_Visitor,False,False
0,0.0,0,0.0,4,0.025,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
0,0.0,0,0.0,44,0.032142857,0.0,Dec,2,4,1,1,Returning_Visitor,False,False
4,464.5,0,0.0,9,0.002777778,0.0,Jul,1,1,3,2,New_Visitor,False,False
0,0.0,2,11.0,1,0.133333333,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
1,10.5,0,0.0,7,0.00952381,0.0,Mar,2,4,4,8,Returning_Visitor,False,False
0,0.0,0,0.0,27,0.036923077,0.0,May,2,2,1,4,Returning_Visitor,False,False
7,106.8285714,0,0.0,181,0.007218823,11.29607044,May,4,1,3,4,Returning_Visitor,True,False
0,0.0,0,0.0,5,0.08,0.0,May,2,2,5,1,Returning_Visitor,True,False
0,0.0,1,6.0,13,0.005128205,0.0,May,2,2,9,2,New_Visitor,False,False
0,0.0,0,0.0,5,0.04,0.0,May,2,2,5,4,Returning_Visitor,False,False
1,79.0,2,255.0,137,0.020907736,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
1,75.0,0,0.0,19,0.030392157,28.11635484,Nov,2,2,1,13,Returning_Visitor,False,True
0,0.0,1,105.8,44,0.036803966,9.550627398,Sep,2,6,4,2,Returning_Visitor,False,False
1,34.0,2,9.0,3,0.05,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,102,0.037679739,0.0,Nov,2,2,7,1,Returning_Visitor,False,False
0,0.0,0,0.0,25,0.040977778,0.0,May,2,2,5,2,Returning_Visitor,False,False
0,0.0,0,0.0,13,0.006060606,0.0,Dec,3,2,6,2,New_Visitor,True,False
0,0.0,0,0.0,1,0.2,0.0,Dec,2,2,2,2,Other,False,False
0,0.0,0,0.0,5,0.07,0.0,Dec,1,1,5,8,Returning_Visitor,True,False
0,0.0,0,0.0,39,0.011965812,0.0,May,4,2,3,13,Returning_Visitor,False,False
0,0.0,0,0.0,23,0.102717391,0.0,May,2,5,1,11,Returning_Visitor,False,False
0,0.0,0,0.0,58,0.031609195,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,34,0.004747475,12.61543434,May,2,2,5,2,Returning_Visitor,False,False
2,135.0,1,2.0,11,0.00515873,0.0,Mar,3,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,23,0.046376812,0.0,Nov,1,1,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,3,0.121153846,0.0,Dec,3,2,1,1,Returning_Visitor,False,False
2,25.2,4,86.6,21,0.037179487,0.0,Oct,2,2,7,3,Returning_Visitor,True,False
2,41.4,0,0.0,28,0.018452381,0.0,Nov,2,2,9,2,Returning_Visitor,True,False
3,80.0,1,21.0,41,0.01804878,6.53004878,May,2,2,1,4,Returning_Visitor,False,False
1,7.5,0,0.0,63,0.03604734,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
0,0.0,1,10.0,88,0.030501264,0.0,Nov,2,4,7,1,Returning_Visitor,False,False
0,0.0,0,0.0,7,0.023809524,0.0,Dec,3,2,6,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,Dec,3,2,1,1,Returning_Visitor,False,False
3,23.0,0,0.0,6,0.014285714,0.0,Mar,2,2,6,2,New_Visitor,False,False
0,0.0,0,0.0,7,0.114285714,0.0,Nov,2,2,1,13,Returning_Visitor,False,False
5,158.5,2,15.0,34,0.024324324,0.0,Nov,1,1,1,2,Returning_Visitor,True,True
0,0.0,0,0.0,1,0.2,0.0,Nov,1,8,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,15,0.017777778,0.0,Dec,2,2,9,10,Returning_Visitor,False,False
4,151.0,0,0.0,30,0.012121212,28.40448178,Sep,2,2,2,2,Returning_Visitor,True,True
3,21.0,0,0.0,17,0.02,0.0,Nov,2,4,1,8,New_Visitor,True,True
0,0.0,0,0.0,7,0.057142857,0.0,May,1,1,6,4,Returning_Visitor,True,False
6,77.0,3,447.0,34,0.02398374,22.80152439,Mar,2,2,1,2,Returning_Visitor,False,False
1,55.0,1,47.0,47,0.01257764,0.0,Mar,2,2,6,1,Returning_Visitor,False,False
1,48.5,0,0.0,35,0.019117647,36.95500632,Nov,2,4,1,3,Returning_Visitor,False,True
3,62.0,2,193.0,4,0.0125,0.0,Mar,3,2,1,10,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,Nov,8,2,6,13,Returning_Visitor,False,False
0,0.0,0,0.0,8,0.05625,0.0,Feb,3,2,1,4,Returning_Visitor,True,False
7,243.7469512,1,1073.0,33,0.028235129,25.10043261,Nov,3,2,2,2,Returning_Visitor,False,False
0,0.0,0,0.0,11,0.036363636,0.0,Nov,3,2,1,10,Returning_Visitor,True,False
0,0.0,0,0.0,3,0.111111111,0.0,May,2,2,6,1,Returning_Visitor,False,False
0,0.0,0,0.0,2,0.05,0.0,Mar,2,2,6,3,Returning_Visitor,False,False
7,42.25714286,0,0.0,124,0.022888335,6.709440135,Nov,2,2,3,2,Returning_Visitor,False,True
12,1276.264286,0,0.0,118,0.005446194,22.45841786,Nov,3,2,8,3,Returning_Visitor,False,True
0,0.0,0,0.0,14,0.016666667,0.0,Nov,3,2,1,20,Returning_Visitor,False,False
7,634.2666667,3,89.5,54,0.024020297,7.448242868,Nov,3,2,3,1,Returning_Visitor,False,False
4,175.0,0,0.0,15,0.006666667,0.0,Mar,1,1,7,2,Returning_Visitor,False,False
0,0.0,0,0.0,2,0.2,0.0,Mar,2,2,6,1,Returning_Visitor,False,False
7,131.8333333,0,0.0,63,0.02000962,0.0,Dec,3,2,3,10,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,Feb,2,2,5,1,Returning_Visitor,False,False
1,0.0,0,0.0,3,0.1,0.0,May,2,2,1,6,Returning_Visitor,False,False
0,0.0,0,0.0,18,0.048148148,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
1,51.0,2,117.2857143,15,0.008888889,0.0,Mar,3,3,1,2,Returning_Visitor,False,False
1,7.0,0,0.0,17,0.03125,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
